congress,rollnumber,chamber,bill_no,type,reverse_vote,aid_type,bill_name,link_1,link_2,Column,Column2,Column3
83,97,Senate,Treaty,treaty,N,,"Korea Mutual Defense Treaty (exec. A, 83rd Cong. 2nd Sess.) Provide That The U.S. And The Republic Of Korea Undertake To Settle Peacefully Any International Dispute; Consult When The Political Independence Or Security Of Either Is Threatened By External Armed Attack And Jointly And Separately Develop Means To Deter Such Attack; Recognize That An Armed Attack On Territories In The Pacific Under The Control Of Either Would Be Dangerous To Peace And Security Of Both, And That Each Would Take Action To Meet The Common Danger; And Grant The U.S. The Right To Dispose Its Armed Forces In Korea By Mutual Agreement.",https://voteview.com/rollcall/RS0830097,,,,
83,99,House,HR9242,mil,N,,Const At Ak Mil Bases,https://voteview.com/rollcall/RH0830099,,,,
83,107,House,SCRE91,gov,N,,Concurrent Resolution To Express The Sense Of Congress On Interference In Western Hemisphere Affairs By The Soviet Communists.,https://voteview.com/rollcall/RH0830107,,,,
83,109,House,HR9678,econ,N,,"An Act To Promote The Security And Foreign Policy Of The United States By Furnishing Assistance To Friendly Nations, And For Other Purposes",https://voteview.com/rollcall/RH0830109,,,,
83,117,House,HRE627,gov,N,,Oppose Red China In Un,https://voteview.com/rollcall/RH0830117,,,,
83,141,House,HR9678,econ,Y,,Promote The Security And Foreign Policy Of The Us By Furnishing Assistance To Friendly Nations. On Motion To Recommit.,,,,,
83,144,House,HR10051,econ,N,,Mutual Aid Appropriations,,https://www.govtrack.us/congress/bills/83/hr10051,,,
83,163,Senate,HR8873,mil,N,,"Hr 8873. Appropriations For The Dept. Of Defense And Related Independent Agencies. Kennedy Amend. To Increase By $150,466,000 Funds For Army Military Personnel, And To Increase By $200 Million Funds For Army Maintenance And Operations.",https://voteview.com/rollcall/RS0830163,,,,
83,166,Senate,HR9474,gov,N,,Extend Pres. Auth To Enter Into Trade Agreements,https://voteview.com/rollcall/RS0830166,,,,
83,168,Senate,SCRE109,gov,N,,S. Con. Res. 91. Concurrent Resolution To Express The Sense Of Congress On Interference In Western Hemisphere Affairs By The Soviet Communists.,https://voteview.com/rollcall/RS0830168,,,,
83,208,Senate,HR9678,econ,Y,,Hr 9678. Promote The Security And Foreign Policy Of The U.S. By Furnishing Assistance To Friendly Nations. Capehart Amends. To Earmark $750 Million Rather Than $150 Million Of Nonmilitary Funds For Furnishing Assistance In The Form Of Loans Rather Than Gifts,https://voteview.com/rollcall/RS0830208,,,,
83,218,Senate,HR9678,econ,Y,,"Hr 9678. Long Amend. Limiting Authorization For Appropriations To $2,559 Million.",https://voteview.com/rollcall/RS0830218,,,,
83,219,Senate,HR9678,econ,N,,Mutual Security Act (p.L. 83-665),https://voteview.com/rollcall/RS0830219,,,,
83,243,Senate,HR10051,econ,Y,,Hr 10051. Appropriations For Mutual Security. Maybank Amend. To Reduce Funds For Military Assistance By $200 Million.,https://voteview.com/rollcall/RS0830243,,,,
84,2,House,HJRES159,gov,N,,Formosa Policy. Authorize President To Use Armed Forces To Protect Formosa And Related Territories. Passed.,https://voteview.com/rollcall/RH0840002,,,,
84,5,Senate,HJRES159,gov,N,,H.J.Res. 159. Formosa Policy. Passed.,https://voteview.com/rollcall/RS0840005,,,,
84,6,Senate,Treaty,treaty,N,,"Exec K, 83rd Congress, 2d Session. Southeast Asia Collective Defense Treaty. Provide For Mutual Defense Among Eight Nations Against Communist Attack And Internal Subversion. Two-thirds Majority Required. Ratified.",https://voteview.com/rollcall/RS0840006,,,,
84,7,Senate,Treaty,treaty,Y,,"Exec A, 84th Congress, 1st Session. China Mutual Defense Treaty. Provide For Mutual Defense Between U.S. And Republic Of China. Morse Amendment That Treaty Not Affect Legal Status Or Sovereignty Of Territories To Which It Applies. Rejected.",https://voteview.com/rollcall/RS0840007,,,,
84,8,Senate,Treaty,treaty,Y,,"Exec A, 84th Congress, 1st Session. China Mutual Defense Treaty. Morse Amendment To Eliminate Treaty Provision That Would Allow Expansion Of Territory Covered In Treaty. Rejected.",https://voteview.com/rollcall/RS0840008,,,,
84,9,Senate,Treaty,treaty,N,,"Exec A, 84th Congress, 1st Session. China Mutual Defense Treaty. Two-thirds Majority Required. Ratified.",https://voteview.com/rollcall/RS0840009,,,,
84,14,House,HR2607,mil,N,,Hr 2607. Military Pay. Provide Incentive Pay Raise And Other Fringe Benefits For Enlisted Men And Officers. Passed.,https://voteview.com/rollcall/RH0840014,,,,
84,15,House,HR4903,gov,N,,Restore Un Funds,https://voteview.com/rollcall/RH0840015,,,,
84,27,Senate,Treaty,treaty,N,,"Two German Treaties. Exec L, 83rd Congress, 2d Session, To End Occupation Of Germany. Exec M, 83rd Congress, 2d Session, To Provide Accession Of Federal Republic Of Germany To Nato. Two-thirds Majority Required. Both Ratified. (single Roll Call Was Taken, But Results Recorded Separately On Both Treaties.",https://voteview.com/rollcall/RS0840027,,,,
84,28,Senate,Treaty,treaty,N,,"Exec R, 83rd Congress, 1st Session. Renew International Telecommunications Agreement. Two-thirds Majority Required. Ratified.",https://voteview.com/rollcall/RS0840028,,,,
84,34,House,HR6042,mil,N,,Fiscal 1956 Defense Appropriations. Passed.,https://voteview.com/rollcall/RH0840034,,,,
84,35,Senate,HR1,econ,N,,Hr. 1. Reciprocal Trade Extension. Passed.,https://voteview.com/rollcall/RS0840035,,,,
84,44,Senate,S2090,econ,Y,,S. 2090. Mutual Security Act Of 1955. Authorize Funds For Military And Economic Assistance To Friendly Nations. Knowland Amendment To Potter Amendment (cq 45) To Provide That 50 Percent Of Economic Development Funds Be Available On Loan. Rejected.,https://voteview.com/rollcall/RS0840044,,,,
84,45,Senate,S2090,econ,Y,,S. 2090. Mutual Security Act Of 1955. Potter Amendment To Provide That 75 Percent Of Economic Development Funds Be Available On Loan. Rejected.,https://voteview.com/rollcall/RS0840045,,,,
84,47,House,HCONRES109,gov,N,,Authorize Congressional Delegation To Attend Nato Parliamentary Conference. Suspension Of Rules. Twothirds Majority Required. Adopted.,https://voteview.com/rollcall/RH0840047,,,,
84,47,Senate,S2090,econ,Y,,S. 2090. Mutual Security Act Of 1955. Jenner Amendment To Recommit To Armed Services And Foreign Relations Committee With Instructions To Report Two Bills One For Military Aid And One For The Balance Of The Authorization. Rejected.,https://voteview.com/rollcall/RS0840047,,,,
84,48,Senate,S2090,econ,Y,,S. 2090. Mutual Security Act Of 1955. Long Amendment To Reduce Overall Authorization. Rejected.,https://voteview.com/rollcall/RS0840048,,,,
84,49,Senate,S2090,econ,Y,,S. 2090. Mutual Security Act Of 1955. Mccarthy Amendment That No Funds Be Made Available To Any Country Exporting Goods To Red China While The Latter Holds U.S. Prisoners. Rejected.,https://voteview.com/rollcall/RS0840049,,,,
84,50,Senate,S2090,econ,Y,,S. 2090. Mutual Security Act Of 1955. Ellender Amendment To Eliminate $200 Million President's Fund For Asian Economic Development. Rejected.,https://voteview.com/rollcall/RS0840050,,,,
84,52,Senate,S2090,econ,N,,S. 2090. Mutual Security Act Of 1955. Passed. (see Cq 71.),https://voteview.com/rollcall/RS0840052,,,,
84,54,House,HR3005,mil,Y,,Hr 3005. Extend Universal Military Training And Dependents Assistance Acts One Year And Doctors' Draft Law For Two Years. Mason Motion To Recommit Conference Report. Rejected.,https://voteview.com/rollcall/RH0840054,,,,
84,55,House,HR3005,mil,N,,Selective Service. Extension Of Universal Military Training And Service Act And Dependents Assistance Act For Four Years. Passed.,https://voteview.com/rollcall/RH0840055,,,,
84,57,House,S2090,econ,N,,Mutual Security Act Of 1955. Authorize Military And Economic Assistance To Friendly Nations. Passed,https://voteview.com/rollcall/RH0840057,,,,
84,57,Senate,Treaty,treaty,N,,"Exec G, 84th Congress, 1st Session. Austrian State Treaty. Provide For Re-establishment Of An Independent And Democratic Austria. Two-thirds Majority Required. Ratified.",https://voteview.com/rollcall/RS0840057,,,,
84,58,Senate,HR6042,mil,N,,Hr. 6042. Fiscal 1956 Defense Appropriations. Three Symington Amendments To Increase Marine Corps Funds By $46 Million. Considered En Bloc. Passed.,https://voteview.com/rollcall/RS0840058,,,,
84,59,House,S2090,econ,N,,Mutual Security Act Of 1955. Conference Report. Adopted,https://voteview.com/rollcall/RH0840059,,,,
84,60,House,HR7224,econ,N,,Appropriations. Mutual Sec,https://voteview.com/rollcall/RH0840060,,,,
84,60,Senate,HR6042,mil,N,,Hr. 6042. Fiscal 1956 Defense Appropriations. Passed.,https://voteview.com/rollcall/RS0840060,,,,
84,68,Senate,HR7000,mil,Y,,"Hr. 7000. Provide For The Strengthening Of Reserve Forces. Jenner Amendment Barring Service Of Armed Forces, Including Reserves, In Countries Which Have Treaty With U.S. Authorizing Criminal Jurisdiction Of The Country Over Such Personnel. Rejected.",https://voteview.com/rollcall/RS0840068,,,,
84,69,Senate,HR7000,mil,N,,Hr. 7000. Reserve Forces. Passage.,https://voteview.com/rollcall/RS0840069,,,,
84,71,Senate,HR7224,econ,N,,Hr. 7224. Mutual Security Appropriations For Fiscal 1956. Committee Amendment To Increase Military Assistance Funds By $420 Million. Adopted.,https://voteview.com/rollcall/RS0840071,,,,
84,72,Senate,HR7224,econ,Y,,Hr. 7224. Mutual Security Appropriations For Fiscal 1956. Ellender Amendment To Reduce By $21 Million Funds For Asian Defense Support. Rejected.,https://voteview.com/rollcall/RS0840072,,,,
84,73,Senate,HR7224,econ,Y,,Hr. 7224. Mutual Security Appropriations For Fiscal 1956. Ellender Amendment To Reduce By $207 Million Funds For Asian Defense Support. Rejected.,https://voteview.com/rollcall/RS0840073,,,,
84,75,Senate,HR7224,econ,N,,Hr. 7224. Mutual Security Appropriations For Fiscal 1956. Committee Amendment To Increase By $50 Million Asian Economic Development Funds. Adopted.,https://voteview.com/rollcall/RS0840075,,,,
84,76,Senate,HR7224,econ,N,,Hr. 7224. Mutual Security Appropriations For Fiscal 1956. Passed.,https://voteview.com/rollcall/RS0840076,,,,
84,77,Senate,Treaty,treaty,N,,"Exec E, 84th Congress, 1st Session. Treaty Of Friendhip, Commerce, And Navigation With West Germany. Two-thirds Majority Required. Ratified.",https://voteview.com/rollcall/RS0840077,,,,
84,79,House,HR7993,mil,N,,Appropriations Navy Ship Building,https://voteview.com/rollcall/RH0840079,,,,
84,81,Senate,Treaty,treaty,N,,"Exec F, 84th Congress, 1st Session. Panama Mutual Understanding Treaty. Promote Understanding And Modify Commercial And Financial Privileges Between U. S. And Panama. Two-thirds Majority Required. Agreed To.",https://voteview.com/rollcall/RS0840081,,,,
84,88,Senate,Treaty,treaty,N,,"Exec F, 83rd Congress, 2nd Session, And Exec P, 82nd Congress, 2nd Session. (f) Convention On Slavery. Transfer To United Nations And International Court Of Justice Functions Formerly Assigned To The League Of Nations And Permanent Court Of International Justice. (p) Tariff Publication Convention. Increase U. S. Contribution To The International Bureau For The Publication Of Customs Tariffs. Two-thirds Majority Required. Ratified.",https://voteview.com/rollcall/RS0840088,,,,
84,91,House,HR9893,mil,N,,2b Mil Construction,https://voteview.com/rollcall/RH0840091,,,,
84,97,Senate,Treaty,treaty,N,,"Exec Q, 83rd Congress, 1st Session. Treaty On Importing Trad Samples. Relax Rules On Importation Of Sample Goods. Two-thirds Majority Required. Ratified",https://voteview.com/rollcall/RS0840097,,,,
84,101,House,HR10986,mil,N,,1957 Defenseappropriations.,https://voteview.com/rollcall/RH0840101,,,,
84,108,House,HR11356,econ,N,,Mutual Security Act Of 1956. Authorize $3.6 Billion For Mutual Security Program And Extend For One Year. Passed.,https://voteview.com/rollcall/RH0840108,,,,
84,128,House,HR12130,econ,N,,"Foreign Aid Appropriations. Appropriations For Mutual Security Program For Fiscal Year Ending June, 1957. Passed.",https://voteview.com/rollcall/RH0840128,,,,
84,138,Senate,SJRE97,gov,Y,,S.J.Res. 97. Amend Laws Providing For U.S. Membership In Food And Agriculture Organization And International Labor Organization. Amendment Limiting Funds Appropriated If Any Communist Nation Were To Be Permitted To Vote In Any Ilo Conference That Year. Agreed To.,https://voteview.com/rollcall/RS0840138,,,,
84,172,Senate,HR10986,mil,Y,,Hr. 10986. Defense Appropriations For Fiscal 1957. Amendment Reducing Funds For Aircraft And Air Force Operations. Rejected.,https://voteview.com/rollcall/RS0840172,,,,
84,173,Senate,HR10986,mil,Y,,Hr. 10986. Defense Appropriations. Amendment Increasing Funds For Aircraft And Related Procurement. Adopted.,https://voteview.com/rollcall/RS0840173,,,,
84,174,Senate,HR10986,mil,N,,Hr. 10986. Defense Appropriations For Fiscal 1957. Passed.,https://voteview.com/rollcall/RS0840174,,,,
84,176,Senate,HR11356,econ,Y,,"Hr. 11356. Foreign Aid. Amendment Making Continued Aid To Yugoslavia Conditional On The President's Finding That That Nation Is Not Part Of Communist World Conspiracy, And His Reporting Reasons For Continued Aid To Congress. Adopted.",https://voteview.com/rollcall/RS0840176,,,,
84,177,Senate,HR11356,econ,Y,,Hr. 11356. Foreign Aid. Amendment To Cut Off All Aid To Yugoslavia. Rejected.,https://voteview.com/rollcall/RS0840177,,,,
84,178,Senate,HR11356,econ,Y,,Hr. 11356. Foreign Aid. Amendment To Reduce Total Authorization. Rejected.,https://voteview.com/rollcall/RS0840178,,,,
84,180,Senate,HR11356,econ,Y,,Hr. 11356. Foreign Aid. Amendment To Establish Commission To Investigate Foreing Aid Programs. Rejected.,https://voteview.com/rollcall/RS0840180,,,,
84,181,Senate,HR11356,econ,Y,,Hr. 11356. Foreign Aid. Amendment To Suspend Aid To Countries Shipping Foods Embargoed By U.S. To Soviet Bloc. Rejected.,https://voteview.com/rollcall/RS0840181,,,,
84,182,Senate,HR11356,econ,Y,,Hr. 11356. Foreign Aid. Amendment To Direct Executive Branch To Furnish Any Information On The Mutual Security Program Requested By Congress. Rejected.,https://voteview.com/rollcall/RS0840182,,,,
84,183,Senate,HR11356,econ,Y,,Hr. 11356. Foreign Aid. Amendment To Reduce Development Assistance And Technical Cooperation Funds To India. Rejected.,https://voteview.com/rollcall/RS0840183,,,,
84,184,Senate,HR11356,econ,N,,Mutual Security Act Of 1956.,https://voteview.com/rollcall/RS0840184,,,,
84,189,Senate,Treaty,treaty,N,,"Exec I, 84th Congress, 2d Session. Provide For Participation Of U.S. In International Wheat Agreement,",https://voteview.com/rollcall/RS0840189,,,,
84,190,Senate,Treaty,treaty,N,,"Execs E, G, And H, 84th Congress, 2nd Session. Friendship And Commerce And Treaties With Iran, Nicaragua, And The Netherlands. Two-thirds Majority Required. Ratified En Bloc.",https://voteview.com/rollcall/RS0840190,,,,
84,203,Senate,HR12130,econ,Y,,Hr. 12130. Foreign Aid Appropriations For Fiscal 1957. Amendment Reducing Military Assistance To $1.7 Billion. Rejected.,https://voteview.com/rollcall/RS0840203,,,,
84,204,Senate,HR12130,econ,Y,,Hr. 12130. Foreign Aid Appropriations. Amendment Reducing Military Assistance To $2 Billion. Rejected.,https://voteview.com/rollcall/RS0840204,,,,
84,205,Senate,HR12130,econ,Y,,Hr 12130. Foreign Aid Appropriations. Amendment Reducing Military Assistance To $2.1 Billion. Rejected.,https://voteview.com/rollcall/RS0840205,,,,
84,206,Senate,HR12130,econ,N,,Hr. 12130. Foreign Aid Appropriations. Committee Amendment To Increase Military Assistance From $1.7 To $2.3 Billion. Agreed To.,https://voteview.com/rollcall/RS0840206,,,,
84,207,Senate,HR12130,econ,Y,,"Hr. 12130. Foreign Aid Appropriations. Four Amendments To Reduce Defense Support Funds For Europe, The Near East, Africa, And Asia, And To Reduce Development Assistance Funds. Rejected En Bloc.",https://voteview.com/rollcall/RS0840207,,,,
84,208,Senate,HR12130,econ,N,,Hr. 12130. Foreign Aid Appropriations. Committee Amendments Increasing Defense Support And Development Assistance Funds. Agreed To.,https://voteview.com/rollcall/RS0840208,,,,
84,210,Senate,HR12130,econ,Y,,"Hr. 12130. Foreign Aid Appropriations, Fiscal 1957. Amendment To Bar Use Of Funds For Military Equipment To Yugoslavia Except To Maintain Equipment Previously Furnished. Agreed To",https://voteview.com/rollcall/RS0840210,,,,
84,211,Senate,HR12130,econ,N,,Hr. 12130. Fiscal 1957 Foreign Aid Appropriations. Passed.,https://voteview.com/rollcall/RS0840211,,,,
84,212,Senate,HCRE265,gov,N,,H.Con.Res. 265. Express Sense Of Congress Aginst Admitting Red China As The Representative Of China To The U.N. Adopted.,https://voteview.com/rollcall/RS0840212,,,,
85,3,House,HJRE117,gov,N,,Eisenhower Mid-east Doctrine Authorizing The President To Undertake A Program Of Economic Cooperation With Middle Eastern Nations In Order To Combat Communism. Passed. Yea Supports President's Position.,https://voteview.com/rollcall/RH0850003,,,,
85,28,House,SJRE72,gov,N,,Approve Amendment To Anglo-american Financial Agreement Of 1945 To Allow British To Postpone Seven Repayments On Loans From U. S. Passed. Yea Supports President's Position.,https://voteview.com/rollcall/RH0850028,,,,
85,30,House,HR6871,econ,Y,,"Fiscal 1958 Appropriations For State And Justice Departments, The Judiciary And U.S. Information Agency. Amendment To Cut Funds Provided For International Organizations. Rejected. Nay Supports President's Position.",https://voteview.com/rollcall/RH0850030,,,,
85,38,House,HR7665,mil,Y,,HR 7665. FISCAL 1958 APPROPRIATIONS FOR DEPARTMENT OF DEFENSE. MOTION TO RECOMMIT WITH INSTRUCTIONS. REJECTED. YEA SUPPORTS PRESIDENT'S POSITION.,https://voteview.com/rollcall/RH0850038,,,,
85,39,House,HR7665,mil,N,,Fiscal 1958 Appropriations For Department Of Defense. Passed.,https://voteview.com/rollcall/RH0850039,,,,
85,53,House,S2130,econ,Y,,Mutual Security Act Of 1957. Motion To Recommit To Foreign Affairs Committee With Instructions To Delete Provision For Creation Of Development Loan Fund. Rejected. Nay Supports President's Position.,https://voteview.com/rollcall/RH0850053,,,,
85,54,House,S2130,econ,N,,S 2130. MUTUAL SECURITY ACT OF 1957. PASSED. YEA SUPPORTS PRESIDENT'S POSITION,https://voteview.com/rollcall/RH0850054,,,,
85,65,House,HR6709,gov,N,,Authorize Land Grant To Republic Of Panama With A Committee Amendment Deleting A Provision That An Increase In Annuity To Panama Be Paid By The Panama Canal Company. Suspension Of Rules. Two-thirds Majority Required. Passed.,https://voteview.com/rollcall/RH0850065,,,,
85,70,House,HR8992,gov,N,,Us Par In Inter Atomic Energy Agency,https://voteview.com/rollcall/RH0850070,,,,
85,79,House,S2130,econ,N,,1957 Mutual Sec Act,https://voteview.com/rollcall/RH0850079,,,,
85,81,House,HR9302,econ,Y,,HR 9302. MUTUAL SECURITY FISCAL 1958 APPROPRIATIONS. JUDD MOTION TO RECOMMIT WITH INSTRUCTIONS TO CUT. REJECTED. YEA SUPPORTS PRESIDENT'S POSITION.,https://voteview.com/rollcall/RH0850081,,,,
85,82,House,HR9302,econ,N,,HR 9302. FISCAL 1958 MUTUAL SECURITY APPROPRIATIONS. PASSED.,https://voteview.com/rollcall/RH0850082,,,,
85,100,House,HR9302,econ,N,,Fiscal 1958 Mutual Security Appropriation Bill,https://voteview.com/rollcall/RH0850100,,,,
85,101,House,HR9739,mil,N,,"HR 9739. AUTHORIZE AIR FORCE CONSTRUCTION WORK ON AIR WARNING SYSTEMS SAC FACILITI ES, AND THREE ICBM BASES, AND AUTHORIZE AN ADVANCE RESEARCH PROJECTS AGENCY WITHIN DEFENSE DEPARTMENT. PASSED. YEA SUPPORTS PRESIDENT'S POSITION.",https://voteview.com/rollcall/RH0850101,,,,
85,104,House,HR10146,mil,N,,Fiscal 1958 Supplemental Defense Appropriation For Accelerated Missile Defense Program. Passed. Yea Supports President's Position.,https://voteview.com/rollcall/RH0850104,,,,
85,112,House,SCRE69,mil,N,,S CON RES 69. REQUEST PRESIDENT TO ACCELERATE SPENDING OF FUNDS FOR MILITARY PROJECTS AS ANTI-RECESSION MEASURE. TWOTHIRDS MAJORITY REQUIRED. ADOPTED.,https://voteview.com/rollcall/RH0850112,,,,
85,117,House,HRE507,mil,N,,H RES 507. OPEN RULE FOR CONSIDERATION OF HR 11470. MILITARY PAY INCREASE BILL. ADOPTED. YEA SUPPORTS PRESIDENT'S POSITION.,https://voteview.com/rollcall/RH0850117,,,,
85,118,House,HR11470,mil,N,,HR 11470. BILL TO RAISE PAY OF MILITARY PERSONNEL EXCEPT PRIVATES. PASSED. YEA SUPPORTS PRESIDENT'S POSITION.,https://voteview.com/rollcall/RH0850118,,,,
85,131,House,HR12181,econ,N,,"Mutual Security Act Of 1958. Passage Of $2,958,900,000 Authorization Bill. Yea Supports President's Position.",https://voteview.com/rollcall/RH0850131,,,,
85,138,House,HR12738,mil,N,,HR 12738. DEFENSE APPROPRIATIONS BILL FOR FISCAL 1959. AMENDMENT TO PROVIDE ADDITIONAL $99 MILLION FOR DEPARTMENT OF ARMY. ACCEPTED. NAY SUPPORTS PRESIDENT'S POSITION.,https://voteview.com/rollcall/RH0850138,,,,
85,139,House,HR12738,mil,N,,Defense Appropriations Bill For Fiscal 1959. Passed.,https://voteview.com/rollcall/RH0850139,,,,
85,146,House,HR12761,gov,N,,"HR 12761. AMEND ATOMIC ENERGY ACT OF 1954, AUTHORIZING TRANSFER OF INFORMATION AND MATERIAL TO ALLIED NATIONS, PURSUANT TO COOPERATION AGREEMENTS SUBJECT TO CONGRESSIONAL VETO. PASSED. YEA SUPPORTS PRESIDENT'S POSITION.",https://voteview.com/rollcall/RH0850146,,,,
85,151,House,HR12181,econ,Y,,HR 12181. MUTUAL SECURITY ACT OF 1958. MOTION TO RECOMMIT CONFERENCE REPORT AUTHORIZING FOREIGN AID FUNDS. REJECTED. NAY SUPPORTS PRESIDENT'S POSITION.,https://voteview.com/rollcall/RH0850151,,,,
85,155,House,HR13192,econ,N,,HR 13192. MUTUAL SECURITY APPROPRIATIONS FOR FISCAL 1959. MOTION TO RECOMMIT WITH INSTRUCTIONS TO INCREASE DEFENSE FUNDS BY $75 MILLION. REJECTED. YEA SUPPORTS PRESIDENT'S POSITION.,https://voteview.com/rollcall/RH0850155,,,,
85,156,House,HR13192,econ,N,,Mutual Security Appropriations For Fiscal 1959. Passed. Yea Supports President's Position.,https://voteview.com/rollcall/RH0850156,,,,
85,158,House,HR13015,mil,N,,Authorize Fiscal 1959 Funds For Military Construction. Passed,https://voteview.com/rollcall/RH0850158,,,,
85,170,House,HR13015,mil,N,,HR 13015. AUTHORIZATION OF FUNDS FOR MILITARY CONSTRUCTION IN FISCAL 1959. CONFERENCE REPORT. ADOPTED.,https://voteview.com/rollcall/RH0850170,,,,
85,189,House,SCRE109,mil,N,,Un Consider Perm Ob And Patrol Force,https://voteview.com/rollcall/RH0850189,,,,
85,192,House,HR13489,mil,N,,Mil Constr Appropriations,https://voteview.com/rollcall/RH0850192,,,,
86,4,House,HR2260,mil,N,,Extend Draft 4 Years,https://voteview.com/rollcall/RH0860004,,,,
86,13,House,HR4452,gov,N,,Increase U.S. Subscriptions To International Monetary Fund And World Bank And Make Funds Authorized To Imf Available In Fiscal 1959. Passed. Yea Supports President's Position.,https://voteview.com/rollcall/RH0860013,,,,
86,15,House,HR5674,mil,N,,1960 Mil Const,https://voteview.com/rollcall/RH0860015,,,,
86,28,House,HR7454,mil,N,,Appropriations For Department Of Defense For Fiscal 1960. Passed.,https://voteview.com/rollcall/RH0860028,,,,
86,53,House,HR7500,econ,N,,Mutual Security Act Of 1959. Conference Report Authorizing Fiscal 1960 Foreign Aid Funds. Adopted. Yea Supports President's Position.,https://voteview.com/rollcall/RH0860053,,,,
86,55,House,HR7072,gov,N,,Provide For U.S. Participation In Inter-american Development Bank And Authorize Funds For That Purpose. Passed. Yea Supports President's Position.,https://voteview.com/rollcall/RH0860055,,,,
86,63,House,HCRE369,gov,N,,"Oppose Red China In Un, 86th Congress",https://voteview.com/rollcall/RH0860063,,,,
86,86,House,HR8385,econ,N,,Fiscal 1960 Mutual Security Appropriations Bill. Conference Report. Adopted. Yea Supports President's Position,https://voteview.com/rollcall/RH0860086,,,,
86,97,House,HR10777,mil,N,,1.03b Mil Const,https://voteview.com/rollcall/RH0860097,,,,
86,127,House,HR11510,econ,N,,Mutual Security Act Of 1960. Adoption Of Conference Report,https://voteview.com/rollcall/RH0860127,,,,
86,148,House,HR12619,econ,N,MIL,Aid,https://voteview.com/rollcall/RH0860149,,,,
86,159,House,HR11001,gov,N,,Provide For U.S. Participation In The International Development Assn. And Authorize A U.S. Subscription Of $320290000.,https://voteview.com/rollcall/RH0860159,,,,
86,161,House,HR11998,mil,N,,"Appropriate $3999 6,608,000 To Dept. Of Defense For Fiscal 1961. Adoption Of Conference Report.",https://voteview.com/rollcall/RH0860161,,,,
86,179,House,HR13161,econ,N,,Add 65m Mutual Sec Aid,https://voteview.com/rollcall/RH0860179,,,,
87,21,House,HR6518,econ,N,,Appropriate $500 Million For Inter-american Social And Economic Cooperation Program And $100 Million For Chilean Reconstruction And Rehabilitation Program. Passed. Yea Supports President's Position.,https://voteview.com/rollcall/RH0870021,,,,
87,29,House,HRE284,gov,N,,Provide Open Rule For Debate On H.R. 4614 Establishing Agency To Encourage Foreign Residents To Travel In U.S. Rule Adopted. Yea Supports President's Position.,https://voteview.com/rollcall/RH0870029,,,,
87,30,House,HCRE226,gov,N,,Oas Sanctions Against Cuba,https://voteview.com/rollcall/RH0870030,,,,
87,32,House,S1852,mil,N,,Buy Aircraft Missiles And Ships,https://voteview.com/rollcall/RH0870032,,,,
87,43,House,HR7712,econ,N,,"Fourth Supplemental Appropriations Bill For Fiscal 1961. Funds For Departments Of State, Justice, Treasury, And Defense Includ Ing State Department Funds Committed To Pay U.S. Assessment For U.N. Action In Congo. Passage.",https://voteview.com/rollcall/RH0870043,,,,
87,63,House,SJRE120,gov,N,,Pres Auth To Call Up Reserves Berlin Crisis,https://voteview.com/rollcall/RH0870063,,,,
87,68,House,HR7728,econ,N,MIL,Authorize Secretary Of A Military Department To Sell Supplies Or Services To Owner Of Aircraft In An Emergency Or When Such Sales Would Be Advantageous To U.S. Passed.,https://voteview.com/rollcall/RH0870068,,,,
87,74,House,HR7851,mil,N,,Defense Appropriations Bill For Fiscal 1962. Conference Report. Adopted.,https://voteview.com/rollcall/RH0870074,,,,
87,75,House,HR8400,econ,N,,"To Promote The Foreign Policy, Security, And General Welfare Of The United States By Assisting Peoples Of The World In Their Efforts Toward Economic And Social Development And Internal And External Security, And For Other Purposes.",https://voteview.com/rollcall/RH0870075,,,,
87,87,House,S1983,econ,N,FAA,S. 1983. Foreign Assistance Act Of 1961. Authorize $4 Billion In Foreign Aid In Fiscal 1962 And An Additional $1.5 Billion For Development Loans In Fiscal 1963-1966. Conference Report Adopted. Yea Supports President's Position.,https://voteview.com/rollcall/RH0870087,,,,
87,92,House,HR8666,gov,N,,Mutual Education And Cultural Exchange Act Of 1961. Consolidate And Expand U.S. Educational And Cultural Exchange Programs. Passed.,https://voteview.com/rollcall/RH0870092,,,,
87,107,House,HR9118,gov,N,,Establish A U.S. Arms Control Agency. Passed. Yea Supports President's Position.,https://voteview.com/rollcall/RH0870107,,,,
87,108,House,HR7500,gov,N,,Create Peace Corps,https://voteview.com/rollcall/RH0870108,,,,
87,113,House,HR9118,gov,N,,Establish A U.S. Arms Control And Disarmament Agency. Conference Report. Agreed To. Yea Supports President's Position.,https://voteview.com/rollcall/RH0870113,,,,
87,116,House,HR9033,gov,N,,Foreign Assistance Appropriations Act For Fiscal 1960. Conference Stage. Senate Amendment Permitting President To Withold Foreign Aid Information From Congressional Examination If He Certifies His Reason For Doing So. Agreed To. Yea Supports President's Position.,https://voteview.com/rollcall/RH0870116,,,,
87,132,House,HR9751,mil,N,,Authorize Appropriation For Aircraft Missile And Naval Vessel Procurement.,https://voteview.com/rollcall/RH0870132,,,,
87,138,House,HR10162,econ,N,,Standby Authority For U.S. To Loan $2 Billion To The International Monetary Fund.,https://voteview.com/rollcall/RH0870138,,,,
