Column,icpsr,bioname,district_code,state_abbrev,nominate_dim1,nominate_dim2,total_nay,total_yay,term_total_career,term_total_period,term_total_after,loyal,korea_surge,fate,replaced_by,notes,Faction_79,Faction_80,Faction_81,Faction_82,Faction_83,Faction_84,born,died,age_1945
110,2935,"ELLSWORTH, Mathew Harris",4,OR,0.265,-0.092,5,26,7,6,NA,N,Y,Flipped or moderated,Not Replaced,NA,Interventionist,Interventionist,Isolationist,Interventionist,Interventionist,Interventionist,1899,1986,46
111,3682,"GOODWIN, Angier Louis",8,MA,0.349,-0.59,5,25,6,5,NA,N,Y,Flipped or moderated,Not Replaced,NA,Interventionist,Interventionist,Isolationist,Interventionist,Interventionist,Not in Congress,1881,1975,64
112,3737,"GRAHAM, Louis Edward",25,PA,0.329,-0.314,5,14,8,5,NA,N,Y,Flipped or moderated,Not Replaced,NA,Interventionist,Interventionist,Isolationist,Noncommitted,Interventionist,Not in Congress,1880,1965,65
113,3851,"GROSS, Chester  Heilman",21,PA,0.463,-0.347,5,4,4,2,NA,N,N,Flipped or moderated,Not Replaced,NA,Interventionist,Isolationist,Not in Congress,Not in Congress,Not in Congress,Not in Congress,1888,1973,57
114,4139,"HARRISON, William Henry",1,WY,0.269,0.077,5,NA,5,2,3,N,N,Flipped or moderated,Not Replaced,,Not in Congress,Not in Congress,Not in Congress,Isolationist,Noncommitted,Not in Congress,1896,1990,49
115,4165,"HARVEY, Ralph",10,IN,0.305,-0.011,5,9,9,5,4,N,Y,Flipped or moderated,Not Replaced,NA,Not in Congress,Noncommitted,Isolationist,Noncommitted,Interventionist,Interventionist,1901,1991,44
116,4482,"HOEVEN, Charles Bernard",8,IA,0.317,0.009,5,10,11,6,4,N,Y,Flipped or moderated,Not Replaced,,Interventionist,Interventionist,Isolationist,Noncommitted,Noncommitted,Noncommitted,1895,1980,50
117,4880,"JAMES, Benjamin Franklin",7,PA,0.277,-0.381,5,12,5,4,1,N,Y,Flipped or moderated,Not Replaced,NA,Not in Congress,Not in Congress,Isolationist,Interventionist,Interventionist,Noncommitted,1885,1961,60
118,6449,"MEYER, Herbert Alton",3,KS,0.366,0.041,5,5,2,2,NA,N,Y,Flipped or moderated,Not Replaced,NA,Not in Congress,Interventionist,Isolationist,Not in Congress,Not in Congress,Not in Congress,1886,1950,59
119,7411,"PHILLIPS, Dayton Edward",1,TN,0.062,-0.174,5,NA,2,2,NA,N,N,Flipped or moderated,Not Replaced,,Not in Congress,Isolationist,Noncommitted,Not in Congress,Not in Congress,Not in Congress,1910,1980,35
120,7415,"PHILLIPS, John",22,CA,0.474,-0.219,5,10,7,6,NA,N,Y,Flipped or moderated,Not Replaced,NA,Interventionist,Interventionist,Isolationist,Noncommitted,Noncommitted,Noncommitted,1887,1983,58
121,7777,"REECE, Brazilla Carroll",1,TN,0.252,0.067,5,NA,18,4,3,N,N,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/B._Carroll_Reece,Noncommitted,Not in Congress,Not in Congress,Isolationist,Noncommitted,Noncommitted,1889,1961,56
122,8322,"SCUDDER, Hubert Baxter",1,CA,0.291,-0.347,5,10,5,4,1,N,N,Flipped or moderated,Not Replaced,NA,Not in Congress,Not in Congress,Noncommitted,Isolationist,Interventionist,Interventionist,1888,1968,57
123,9427,"TOWE, Harry Lancaster",9,NJ,0.241,-0.342,5,11,5,4,NA,N,Y,Flipped or moderated,Not Replaced,NA,Interventionist,Interventionist,Isolationist,Noncommitted,Not in Congress,Not in Congress,1898,1991,47
124,9578,"UTT, James Boyd",28,CA,0.484,0.246,5,NA,9,2,7,N,N,Holdout,Not Replaced,Final house seat: 91st,Not in Congress,Not in Congress,Not in Congress,Not in Congress,Noncommitted,Isolationist,1899,1970,46
125,672,"BERRY, Ellis Yarnal",2,SD,0.325,0.161,4,NA,10,3,7,N,N,Flipped or moderated,Not Replaced,,Not in Congress,Not in Congress,Not in Congress,Noncommitted,Isolationist,Noncommitted,1902,1999,43
126,2038,"COON, Samuel Harrison",2,OR,0.414,0.024,4,5,2,2,NA,N,N,Flipped or moderated,Not Replaced,,Not in Congress,Not in Congress,Not in Congress,Not in Congress,Isolationist,Interventionist,1903,1980,42
127,5410,"LAIRD, Melvin Robert",7,WI,0.416,-0.305,4,NA,9,2,7,N,N,Flipped or moderated,Not Replaced,,Not in Congress,Not in Congress,Not in Congress,Not in Congress,Isolationist,Noncommitted,1922,2016,23
128,5885,"MACK, Russell Vernon",3,WA,0.209,-0.172,4,13,7,5,2,N,N,Flipped or moderated,Not Replaced,,Not in Congress,Interventionist,Noncommitted,Interventionist,Isolationist,Noncommitted,1891,1960,54
129,6276,"McINTIRE, Clifford Guy",3,ME,0.228,-0.059,4,NA,7,3,4,N,N,Flipped or moderated,Not Replaced,,Not in Congress,Not in Congress,Not in Congress,Noncommitted,Isolationist,Noncommitted,1908,1974,37
130,6851,"NEAL, William Elmer",4,WV,0.342,0.145,4,NA,2,1,1,Y,N,Defeated in general,Interventionist,"Defeated by Democrat and interventionist, BURNSIDE, Maurice Gwinn
https://en.wikipedia.org/wiki/Will_E._Neal
",Not in Congress,Not in Congress,Not in Congress,Not in Congress,Isolationist,Not in Congress,1875,1959,70
131,7472,"PITTENGER, William Alvin",8,MN,0.107,-0.243,4,NA,7,1,NA,Y,N,Defeated in general,Interventionist,"Replaced by Democrat and interventionist,BLATNIK, John Anton",Isolationist,Not in Congress,Not in Congress,Not in Congress,Not in Congress,Not in Congress,1885,1951,60
