icpsr,bioname,party_code,state_abbrev,nominate_dim1,nominate_dim2,total_yay,term_total_career,term_total_period,term_total_after,loyal,79,80,81,82,83,84,X79_year
6449,"MEYER, Herbert Alton",200,KS,0.366,0.041,5,2,2,NA,N,NA,Interventionist,Isolationist,NA,NA,NA,1945
6456,"MICHENER, Earl Cory",200,MI,0.31,-0.019,20,15,3,NA,Y,Interventionist,Interventionist,Interventionist,NA,NA,NA,1945
6481,"MILLER, Edward Tylor",200,MD,0.298,-0.216,30,6,5,1,Y,NA,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
6516,"MILLER, William Edward",200,NY,0.263,-0.406,16,7,3,4,Y,NA,NA,NA,Interventionist,Interventionist,Interventionist,1945
6518,"MILLER, William Jennings",200,CT,0.062,-0.647,5,3,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
6548,"MINSHALL, William Edwin, Jr.",200,OH,0.312,-0.192,7,10,1,9,Y,NA,NA,NA,NA,NA,Interventionist,1945
6664,"MORANO, Albert Paul",200,CT,0.062,-0.829,17,4,3,1,Y,NA,NA,NA,Interventionist,Interventionist,Interventionist,1945
6745,"MORTON, Thruston Ballard",200,KY,0.2,-0.4,8,3,3,NA,N,NA,Interventionist,Fence Sitter,Fence Sitter,NA,NA,1945
6780,"MUHLENBERG, Frederick Augustus",200,PA,0.128,-0.331,8,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
6795,"MUMMA, Walter Mann",200,PA,0.303,-0.353,11,6,3,3,N,NA,NA,NA,Interventionist,Interventionist,Fence Sitter,1945
6796,"MUNDT, Karl Earl",200,SD,0.275,-0.018,14,5,2,NA,Y,Interventionist,Interventionist,NA,NA,NA,NA,1945
6823,"MURRAY, Reid Fred",200,WI,0.308,-0.4,4,7,4,NA,N,Interventionist,Isolationist,Isolationist,Fence Sitter,NA,NA,1945
6939,"NIXON, Richard Milhous",200,CA,0.162,-0.388,8,2,2,NA,N,NA,Interventionist,Fence Sitter,NA,NA,NA,1945
6944,"NODAR, Robert Joseph, Jr.",200,NY,0.238,-0.751,6,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
6955,"NORBLAD, Albin Walter, Jr.",200,OR,0.176,-0.115,21,10,6,4,N,Fence Sitter,Interventionist,Fence Sitter,Interventionist,Fence Sitter,Interventionist,1945
6995,"OAKMAN, Charles Gibb",200,MI,0.287,-0.66,5,1,1,NA,Y,NA,NA,NA,NA,Interventionist,NA,1945
7101,"OSMERS, Frank Charles, Jr.",200,NJ,0.156,-0.693,14,9,3,4,N,NA,NA,NA,Fence Sitter,Interventionist,Interventionist,1945
7102,"OSTERTAG, Harold Charles",200,NY,0.236,-0.548,22,7,3,4,Y,NA,NA,NA,Interventionist,Interventionist,Interventionist,1945
7245,"PATTERSON, James Thomas",200,CT,0.085,-0.662,29,6,5,1,Y,NA,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
7313,"PELLY, Thomas Minor",200,WA,0.187,-0.368,13,10,2,8,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
7415,"PHILLIPS, John",200,CA,0.474,-0.219,10,7,6,NA,N,Interventionist,Interventionist,Isolationist,Fence Sitter,Fence Sitter,Fence Sitter,1945
7453,"PILLION, John Raymond",200,NY,0.348,-0.085,11,6,2,4,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
7495,"PLUMLEY, Charles Albert",200,VT,0.281,-0.103,8,9,3,NA,N,Fence Sitter,Interventionist,Fence Sitter,NA,NA,NA,1945
7500,"POFF, Richard Harding",200,VA,0.265,0.202,12,10,2,8,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
7551,"POTTER, Charles Edward",200,MI,0.249,-0.438,6,3,3,NA,N,NA,Interventionist,Fence Sitter,Fence Sitter,NA,NA,1945
7563,"POTTS, David Matthew",200,NY,0.162,-0.987,7,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
7566,"POULSON, C. Norris",200,CA,0.207,-0.424,8,5,4,NA,N,NA,Interventionist,Fence Sitter,Fence Sitter,Fence Sitter,NA,1945
7637,"PROUTY, Winston Lewis",200,VT,0.17,-0.564,16,4,3,1,Y,NA,NA,NA,Interventionist,Interventionist,Interventionist,1945
7687,"RADWAN, Edmund Patrick",200,NY,0.148,-0.516,17,4,3,1,Y,NA,NA,NA,Interventionist,Interventionist,Interventionist,1945
7699,"RAMEY, Homer Alonzo",200,OH,0.181,-0.827,10,3,2,NA,Y,Interventionist,Interventionist,NA,NA,NA,NA,1945
7749,"RAY, John Henry",200,NY,0.444,-0.275,14,5,2,3,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
7799,"REES, Edward Herbert",200,KS,0.349,-0.09,11,12,6,2,N,Interventionist,Fence Sitter,Isolationist,Fence Sitter,Fence Sitter,Interventionist,1945
7803,"REEVES, Albert Lee, Jr.",200,MO,0.283,-0.288,6,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
7845,"RHODES, John Jacob",200,AZ,0.225,-0.033,13,15,2,13,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
7901,"RIEHLMAN, Roy Walter",200,NY,0.197,-0.569,32,9,5,4,Y,NA,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
7997,"ROBSION, John Marshall, Jr.",200,KY,0.118,-0.276,12,3,2,1,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
8005,"ROCKWELL, Robert Fay",200,CO,0.333,-0.002,5,4,2,NA,N,Fence Sitter,Interventionist,NA,NA,NA,NA,1945
8009,"RODGERS, Robert Lewis",200,PA,0.371,-0.407,5,4,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
8024,"ROGERS, Edith Nourse",200,MA,0.143,-0.512,38,18,6,2,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
8040,"ROHRBOUGH, Edward Gay",200,WV,0.232,-0.209,8,2,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
8075,"ROSS, Robert Tripp",200,NY,0.228,-0.806,8,2,2,NA,N,NA,Interventionist,NA,Fence Sitter,NA,NA,1945
8125,"RUSSELL, Charles Hinton",200,NV,0.157,-0.405,6,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
8170,"SADLAK, Antoni Nicholas",200,CT,0.163,-0.536,24,6,5,1,N,NA,Interventionist,Fence Sitter,Interventionist,Interventionist,Interventionist,1945
8177,"ST. GEORGE, Katharine Price Collier",200,NY,0.384,-0.514,16,9,5,4,N,NA,Interventionist,Fence Sitter,Fence Sitter,Interventionist,Interventionist,1945
8247,"SAYLOR, John Phillips",200,PA,0.133,-0.104,10,13,4,9,N,NA,NA,Fence Sitter,Interventionist,Interventionist,Fence Sitter,1945
8258,"SCHENCK, Paul Fornshell",200,OH,0.298,-0.242,7,7,3,4,N,NA,NA,NA,Fence Sitter,Fence Sitter,Interventionist,1945
8288,"SCHWENGEL, Frederick Delbert",200,IA,0.173,-0.533,8,8,1,7,Y,NA,NA,NA,NA,NA,Interventionist,1945
8299,"SCOTT, Hardie",200,PA,0.213,-0.96,6,3,3,NA,N,NA,Interventionist,Fence Sitter,Fence Sitter,NA,NA,1945
8301,"SCOTT, Hugh Doggett, Jr.",200,PA,0.162,-0.823,18,8,5,1,N,NA,Fence Sitter,Fence Sitter,Interventionist,Interventionist,Interventionist,1945
8322,"SCUDDER, Hubert Baxter",200,CA,0.291,-0.347,10,5,4,1,N,NA,NA,Fence Sitter,Isolationist,Interventionist,Interventionist,1945
8346,"SEELY-BROWN, Horace, Jr.",200,CT,0.058,-0.648,29,6,4,2,Y,NA,Interventionist,NA,Interventionist,Interventionist,Interventionist,1945
8406,"SHARP, Edgar Allan",200,NY,0.283,-0.456,5,1,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
8532,"SIMPSON, Richard Murray",200,PA,0.387,-0.21,10,12,6,2,N,Fence Sitter,Fence Sitter,Isolationist,Isolationist,Interventionist,Interventionist,1945
8533,"SIMPSON, Sidney Elmer",200,IL,0.309,0.096,4,8,6,1,N,Interventionist,Isolationist,Isolationist,Isolationist,Isolationist,Fence Sitter,1945
8556,"SITTLER, Edward Lewis, Jr.",200,PA,0.279,-0.854,6,1,1,NA,Y,NA,NA,NA,Interventionist,NA,NA,1945
8587,"SMALL, Frank, Jr.",200,MD,0.303,-0.453,5,1,1,NA,Y,NA,NA,NA,NA,Interventionist,NA,1945
8663,"SMITH, Lawrence Henry",200,WI,0.481,0.015,4,9,6,1,N,Interventionist,Isolationist,Isolationist,Isolationist,Isolationist,Isolationist,1945
8666,"SMITH, Margaret Chase",200,ME,0.1,-0.378,5,5,2,NA,N,Fence Sitter,Interventionist,NA,NA,NA,NA,1945
8736,"SNYDER, Melvin Claude",200,WV,0.139,-0.583,5,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
8813,"SPRINGER, Raymond Smiley",200,IN,0.441,-0.437,4,5,2,NA,N,Interventionist,Fence Sitter,NA,NA,NA,NA,1945
8814,"SPRINGER, William Lee",200,IL,0.185,-0.186,22,11,3,8,Y,NA,NA,NA,Interventionist,Interventionist,Interventionist,1945
8857,"STAUFFER, Simon Walter",200,PA,0.312,-0.383,4,2,1,1,Y,NA,NA,NA,NA,Interventionist,NA,1945
8879,"STEFAN, Karl",200,NE,0.208,0.069,4,9,4,NA,N,Interventionist,Isolationist,Isolationist,Fence Sitter,NA,NA,1945
8924,"STEVENSON, William Henry",200,WI,0.154,-0.43,5,4,2,NA,N,Fence Sitter,Interventionist,NA,NA,NA,NA,1945
8960,"STOCKMAN, Lowell",200,OR,0.25,0.113,4,5,4,NA,N,Interventionist,Fence Sitter,Fence Sitter,Fence Sitter,NA,NA,1945
9090,"SUNDSTROM, Frank Leander",200,NJ,0.232,-0.373,12,3,2,NA,Y,Interventionist,Interventionist,NA,NA,NA,NA,1945
9144,"TABER, John",200,NY,0.558,-0.04,24,20,6,3,N,Interventionist,Interventionist,Isolationist,Isolationist,Interventionist,Interventionist,1945
9160,"TALBOT, Joseph Edward",200,CT,0.231,-0.417,4,3,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
9168,"TALLE, Henry Oscar",200,IA,0.27,-0.037,16,10,6,1,N,Interventionist,Interventionist,Isolationist,Interventionist,Isolationist,Fence Sitter,1945
9203,"TAYLOR, Dean Park",200,NY,0.206,-0.53,16,9,6,2,N,Fence Sitter,Interventionist,Interventionist,Fence Sitter,Fence Sitter,Interventionist,1945
9240,"TEAGUE, Charles McKevett",200,CA,0.243,-0.227,8,10,1,9,Y,NA,NA,NA,NA,NA,Interventionist,1945
9301,"THOMAS, John Parnell",200,NJ,0.293,-0.096,5,7,3,NA,N,Interventionist,Fence Sitter,Fence Sitter,NA,NA,NA,1945
9350,"THOMSON, Edwin Keith",200,WY,0.29,0.056,6,3,1,2,Y,NA,NA,NA,NA,NA,Interventionist,1945
9377,"TIBBOTT, Harve",200,PA,0.288,-0.531,12,5,2,NA,Y,Interventionist,Interventionist,NA,NA,NA,NA,1945
9409,"TOLLEFSON, Thor Carl",200,WA,0.069,-0.399,34,9,5,4,Y,NA,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
9427,"TOWE, Harry Lancaster",200,NJ,0.241,-0.342,11,5,4,NA,N,Interventionist,Interventionist,Isolationist,Fence Sitter,NA,NA,1945
9645,"VAN ZANDT, James Edward",200,PA,0.121,-0.461,20,11,5,3,N,NA,Interventionist,Fence Sitter,Interventionist,Fence Sitter,Interventionist,1945
9657,"VELDE, Harold Himmel",200,IL,0.402,-0.093,5,4,4,NA,N,NA,NA,Isolationist,Isolationist,Fence Sitter,Interventionist,1945
9688,"VORYS, John Martin",200,OH,0.293,-0.415,38,10,6,1,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
9693,"VURSELL, Charles Wesley",200,IL,0.439,-0.214,6,8,6,1,N,Fence Sitter,Isolationist,Isolationist,Isolationist,Fence Sitter,Interventionist,1945
9705,"WADSWORTH, James Wolcott, Jr.",200,NY,0.434,-0.15,19,9,3,NA,Y,Interventionist,Interventionist,Interventionist,NA,NA,NA,1945
9716,"WAINWRIGHT, Stuyvesant, II",200,NY,0.209,-0.669,11,4,2,2,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
9802,"WAMPLER, William Creed",200,VA,0.146,0.212,6,9,1,8,Y,NA,NA,NA,NA,Interventionist,NA,1945
9804,"WARBURTON, Herbert Birchby",200,DE,0.333,-0.705,6,1,1,NA,Y,NA,NA,NA,NA,Interventionist,NA,1945
9917,"WEICHEL, Alvin F.",200,OH,0.32,-0.255,10,6,5,NA,N,Interventionist,Fence Sitter,Isolationist,Interventionist,Fence Sitter,NA,1945
9928,"WELCH, Richard Joseph",200,CA,-0.174,-0.853,5,13,3,NA,N,Fence Sitter,Interventionist,Fence Sitter,NA,NA,NA,1945
9968,"WESTLAND, Alfred John (Jack)",200,WA,0.218,-0.241,7,6,2,4,N,NA,NA,NA,NA,Fence Sitter,Interventionist,1945
10091,"WIDNALL, William Beck",200,NJ,0.125,-0.45,18,13,4,9,N,NA,NA,Fence Sitter,Interventionist,Interventionist,Interventionist,1945
10095,"WIGGLESWORTH, Richard Bowditch",200,MA,0.266,-0.696,41,16,6,1,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
10191,"WILLIAMS, William Robert",200,NY,0.357,-0.39,15,4,3,1,Y,NA,NA,NA,Interventionist,Interventionist,Interventionist,1945
10212,"WILSON, Earl",200,IN,0.358,-0.083,10,11,6,3,N,Fence Sitter,Isolationist,Isolationist,Fence Sitter,Interventionist,Interventionist,1945
10249,"WILSON, Robert Carlton (Bob)",200,CA,0.264,-0.265,13,14,2,12,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
10303,"WOLCOTT, Jesse Paine",200,MI,0.324,-0.306,22,13,6,NA,N,Interventionist,Interventionist,Isolationist,Fence Sitter,Interventionist,Interventionist,1945
10311,"WOLFENDEN, James",200,PA,0.37,-0.556,4,10,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
10314,"WOLVERTON, Charles Anderson",200,NJ,0.035,-0.616,40,16,6,1,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
10437,"YOUNG, Clarence Clifton",200,NV,0.234,-0.237,11,2,2,NA,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
10461,"YOUNGER, Jesse Arthur",200,CA,0.296,-0.285,13,8,2,6,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
99901,"EISENHOWER, Dwight David",200,USA,0.281,-0.864,6,4,NA,2,Y,NA,NA,NA,NA,NA,NA,1945
